gene,n_groups,F,pval,qval
Xkr4,2,12021.95092580776,0.0,0.0
Rp1,2,2.822647871898747,0.09297049065378772,0.09692334190645067
Mrpl15,2,300.2753130753303,2.047730383866212e-66,4.2986199249634713e-66
Lypla1,2,61.58411252772176,4.623009572113539e-15,5.863034453140726e-15
Gm37988,2,39.414833224825315,3.55197056834052e-10,4.260106674937102e-10
Tcea1,2,557.761002773369,2.017121750991865e-120,6.280215875652874e-120
Rgs20,2,26.996384495658976,2.0737331407772794e-07,2.4051904870490577e-07
Atp6v1h,2,2289.3678763110506,0.0,0.0
Rb1cc1,2,2017.2511700300483,0.0,0.0
St18,2,2855.8437689122948,0.0,0.0
Pcmtd1,2,615.7834884281626,2.01570073651424e-132,6.740836731858551e-132
Sntg1,2,20804.18834122637,0.0,0.0
Rrs1,2,4.343431803352969,0.037174281830787755,0.03920921223615349
Adhfe1,2,666.7972762981043,6.355814415842402e-143,2.265478431508874e-142
Vxn,2,2043.7771956217343,0.0,0.0
Mybl1,2,5.40304936593663,0.02011916005624965,0.021354795296460012
Vcpip1,2,282.56213751871485,1.1860780777649682e-62,2.41228995483745e-62
Sgk3,2,456.509490496275,2.4672302579804794e-99,6.712368480754423e-99
Mcmdc2,2,710.1844041416981,8.088192763544744e-152,3.0451776746117462e-151
Ppp1r42,2,53.004351727808654,3.548127215208047e-13,4.403230412149289e-13
Cops5,2,1068.619704437024,4.411599215832649e-224,2.444011572099131e-223
Cspp1,2,2421.122955803585,0.0,0.0
Arfgef1,2,1646.8480007931764,0.0,0.0
Cpa6,2,549.7666028990072,9.181094328897068e-119,2.8222671501185287e-118
Prex2,2,1051.7925620913588,9.760567840083555e-221,5.309873990376252e-220
A830018L16Rik,2,14162.7271688001,0.0,0.0
Sulf1,2,412.3583303124112,4.437819690011418e-90,1.1246892289014014e-89
Slco5a1,2,156.4246074117056,1.1744770045262826e-35,1.8631432476334254e-35
Ncoa2,2,1251.2910149571503,4.2190766580528554e-260,2.711066098533112e-259
Tram1,2,104.6135127017522,1.8950297750571207e-24,2.6667444798897677e-24
Lactb2,2,447.27921710789616,2.1087214688741864e-97,5.650990813412301e-97
Eya1,2,1038.5941647767156,4.1328549913934717e-218,2.2181233584784244e-217
Kcnb2,2,15694.261148481022,0.0,0.0
Terf1,2,1033.153662713052,5.010203530237212e-217,2.6710598412379235e-216
Sbspon,2,174.65207577348272,1.3976633387607551e-39,2.3035499628398568e-39
Rpl7,2,37.481398186546784,9.533906588562034e-10,1.1379367990424978e-09
Rdh10,2,211.1701005292184,2.0325716127993973e-47,3.6049683755408033e-47
Stau2,2,8149.654751812675,0.0,0.0
Ube2w,2,2764.0110142127346,0.0,0.0
Eloc,2,500.1796264106375,1.8792501744921747e-108,5.413005591667027e-108
Tmem70,2,341.9706829879944,3.013862749894873e-75,6.7748323009386e-75
Ly96,2,3.94077561993383,0.047153079830798715,0.049610985703785124
Jph1,2,2600.444134208413,0.0,0.0
Gdap1,2,3223.5746837764887,0.0,0.0
Crispld1,2,98.45697538342053,4.125160919795852e-23,5.715062308465768e-23
Tfap2b,2,82.83945237915881,1.0382103715033429e-19,1.3883687425183512e-19
Pkhd1,2,48.55101178956754,3.396306009602308e-12,4.172130659652537e-12
Mcm3,2,21.44045514638097,3.6904137207566605e-06,4.196081023081817e-06
Paqr8,2,343.62044759166906,1.3501388605958874e-75,3.0450417204606567e-75
Efhc1,2,0.2870846175170082,0.5921053635053046,0.60005664412534
Tram2,2,62.41339179960866,3.04106570129746e-15,3.86470544357982e-15
Tmem14a,2,542.0568661955031,3.656875725948488e-117,1.1132900013734707e-116
Gsta3,2,323.28266551362196,2.7126206340336266e-71,5.929874266609718e-71
Kcnq5,2,14349.560663816346,0.0,0.0
Rims1,2,27586.68204538671,0.0,0.0
Ogfrl1,2,2035.3352170164649,0.0,0.0
B3gat2,2,1258.3587766470414,1.7466065605248765e-261,1.129804929436663e-260
Smap1,2,2591.8649592588235,0.0,0.0
Sdhaf4,2,158.1721943656412,4.934006398151634e-36,7.856469688488077e-36
Fam135a,2,1381.3525304930524,1.9907885907887453e-285,1.4278179628972714e-284
Col9a1,2,47.16312399442845,6.8730456893613386e-12,8.407334772110258e-12
Col19a1,2,2442.7561844853503,0.0,0.0
Lmbrd1,2,1328.811257643267,3.152013737892391e-275,2.160290343871354e-274
Adgrb3,2,7700.953226077253,0.0,0.0
Phf3,2,1477.7626946413627,4.93361939839465e-304,3.790627030983763e-303
Ptp4a1,2,7.368092750409176,0.0066491656771663025,0.007137843097726178
