gene,n_groups,F,pval,qval
Xkr4,3,1026.7206052363192,2.169792591430731e-307,3.435035284355923e-305
Mrpl15,3,36.78599356644188,2.0478547530507445e-16,3.49528835615914e-16
Lypla1,3,8.097653809315153,0.0003143526823075741,0.00035142692565382687
Gm37988,3,1.373819285947865,0.25337743991866546,0.25766839014002935
Tcea1,3,44.111698417686185,1.7932360449184573e-19,3.3911801718206634e-19
Rgs20,3,13.175981729686482,2.066187650581925e-06,2.4888169427464093e-06
Atp6v1h,3,237.62566194750949,2.657777200595293e-93,2.790551599935971e-92
Rb1cc1,3,90.2957060485921,2.87122520380411e-38,9.24464744700795e-38
St18,3,83.49527708244375,1.4963048186663136e-35,4.466198760906553e-35
Pcmtd1,3,91.40797901710101,1.0358571458113403e-38,3.376229574181882e-38
Sntg1,3,1708.6039788123571,0.0,0.0
Rrs1,3,3.17751266017271,0.041900082476909566,0.04361386776479614
Adhfe1,3,68.52871688714879,1.6413588397029404e-29,4.15107142240225e-29
Vxn,3,49.75524844990644,8.17903648843307e-22,1.6575636707231775e-21
Mybl1,3,0.9740523530620963,0.377729268764343,0.3824669645516522
Vcpip1,3,21.109639669321794,8.467695770772346e-10,1.1536963389484174e-09
Sgk3,3,103.06145499217251,2.5312158991764e-43,9.207854912253151e-43
Mcmdc2,3,171.2734827081646,2.2357720951961189e-69,1.5049178266394637e-68
Ppp1r42,3,111.83099471172689,9.220671564358287e-47,3.682830483929473e-46
Cops5,3,128.5692373114075,2.9948623316299875e-53,1.3987498782593696e-52
Cspp1,3,241.351175382067,1.3168714007396912e-94,1.4180797151074944e-93
Arfgef1,3,161.6600178894983,8.470898239946932e-66,5.249631395269603e-65
Prex2,3,11.352659309572836,1.2514706074286093e-05,1.4667269209263289e-05
A830018L16Rik,3,1301.2118140173786,0.0,0.0
Sulf1,3,338.9505391160623,1.8227770641466455e-127,3.1076436939786867e-126
Ncoa2,3,157.63241032308588,2.7288669325729987e-64,1.63303327972827e-63
Tram1,3,39.08498207669483,2.2356583769849454e-17,3.952527282878388e-17
Lactb2,3,65.15609472379089,3.8727192837829327e-28,9.430373166063513e-28
Kcnb2,3,1013.2175158164592,1.7274294046657034e-304,2.6321705553593656e-302
Terf1,3,99.34908485921034,7.365748274627326e-42,2.58905627069513e-41
Sbspon,3,15.362877552960756,2.392182016575148e-07,2.9899209250539377e-07
4930444P10Rik,3,61.802143103010316,9.068852727271067e-27,2.124314272587131e-26
Rpl7,3,36.91662036741223,1.80545996564361e-16,3.088053456039793e-16
Rdh10,3,44.82700022041147,9.041305721938651e-20,1.7266726735145254e-19
Stau2,3,604.5282390730079,5.191416519171835e-206,2.6042538011812617e-204
Ube2w,3,277.76189612583755,3.699590067770572e-107,4.772275441917806e-106
Eloc,3,39.3785950926105,1.6854336310624223e-17,2.997583303567395e-17
Tmem70,3,10.47744531900446,2.9744807537141396e-05,3.4447007778619956e-05
Ly96,3,1.00327882177986,0.36685994724309406,0.37158477414983937
Jph1,3,86.4565300788756,9.768492350130661e-37,3.0146309303314624e-36
Gdap1,3,329.5288962216525,2.1199887639573435e-124,3.450288789404542e-123
Pkhd1,3,6.771717214344821,0.001172217543355561,0.0012836266487158002
Paqr8,3,139.13437882230528,2.69366378764786e-57,1.3984566256996345e-56
Efhc1,3,99.81085202786882,4.8401662579910926e-42,1.7106879293972575e-41
