gene,n_groups,F,pval,qval
Xkr4,2,12779.841973386754,0.0,0.0
Mrpl15,2,190.85924009003574,4.136437514816091e-43,7.595796536835601e-43
Lypla1,2,39.2835891453837,3.779889721119948e-10,4.5770093221724537e-10
Gm37988,2,29.828189198437904,4.806800531136571e-08,5.644365123640885e-08
Tcea1,2,310.76090926615234,9.241358556297065e-69,2.230154315375376e-68
Rgs20,2,5.111789881542537,0.023780109718795444,0.02521159980510794
Atp6v1h,2,1948.361911562094,0.0,0.0
Rb1cc1,2,1801.519777712528,0.0,0.0
St18,2,1417.6395790480126,1.1011911807432838e-294,1.0265993200365112e-293
Pcmtd1,2,1141.4270623745124,5.405984172745946e-240,3.954514449652514e-239
Sntg1,2,14402.09117606154,0.0,0.0
Rrs1,2,4.385711212334918,0.03626051686605342,0.03825493125982402
Adhfe1,2,492.29203878650793,4.1770619011403444e-107,1.4081761712177676e-106
Vxn,2,1161.9319559710325,4.327440642827506e-244,3.2328669603663796e-243
Mybl1,2,38.84016460708075,4.74052858430786e-10,5.730875360002711e-10
Vcpip1,2,249.57973017069847,1.0457995722103038e-55,2.2150443104882684e-55
Sgk3,2,67.13133822630516,2.774193530036138e-16,3.6661535959198613e-16
Mcmdc2,2,451.10375573789617,1.8727387666733108e-98,5.893696967253346e-98
Ppp1r42,2,26.53542269550384,2.6250337465420657e-07,3.0446742412108235e-07
Cops5,2,795.5042480813815,5.745092322090168e-170,2.911806473041144e-169
Cspp1,2,2381.3164958197904,0.0,0.0
Arfgef1,2,1445.5112088583605,3.815143029954479e-300,3.645823868997301e-299
Prex2,2,2019.78752591315,0.0,0.0
A830018L16Rik,2,7601.23213904977,0.0,0.0
Sulf1,2,81.77915919632049,1.733126433157793e-19,2.387743847539374e-19
Ncoa2,2,1728.5607864039337,0.0,0.0
Tram1,2,68.31193106818773,1.529077856725921e-16,2.0277331267796807e-16
Lactb2,2,231.02044079694585,9.84837114366295e-52,2.0017624051141958e-51
Eya1,2,1663.520328818154,0.0,0.0
Kcnb2,2,8072.728319109077,0.0,0.0
Terf1,2,656.53480594611,2.4696486298161248e-141,1.06046346761162e-140
Sbspon,2,144.0566318300238,5.1422316925400156e-33,8.384073411750026e-33
4930444P10Rik,2,109.09580804274933,1.9457313799098151e-25,2.8990528930575925e-25
Rpl7,2,12.271774862494423,0.00046139263022544505,0.0005070040014412455
Rdh10,2,114.15174927583384,1.5519603419656214e-26,2.343210875960308e-26
Stau2,2,4442.5708828899305,0.0,0.0
Ube2w,2,2809.0034028130244,0.0,0.0
Eloc,2,343.00072849413965,1.3014628752779628e-75,3.345115399491876e-75
Tmem70,2,146.60110510334624,1.448681728008288e-33,2.380002592777584e-33
Ly96,2,14.723567259130796,0.00012506432877364363,0.00013893723800683551
Jph1,2,3962.653820626879,0.0,0.0
Gdap1,2,2235.68378901615,0.0,0.0
Crispld1,2,869.7015185082514,3.9020706204686854e-185,2.1687195163720628e-184
Tfap2b,2,27.84333578008237,1.3364200967949076e-07,1.5588648573361307e-07
Paqr8,2,1003.0612215544418,3.416847867586139e-212,2.189866492187948e-211
Efhc1,2,5.124345069067859,0.023608741247867656,0.025033891632965304
Tram2,2,36.51105470083849,1.5591720119163024e-09,1.8706701140543397e-09
Tmem14a,2,244.88368362391566,1.0576147525558437e-54,2.2182493238995307e-54
Gsta3,2,128.1664350184994,1.4157117594105466e-29,2.221670622796614e-29
Kcnq5,2,12129.64004680909,0.0,0.0
Rims1,2,21865.75525788096,0.0,0.0
Ogfrl1,2,919.5976263441934,2.7363584577272715e-195,1.6078514705395718e-194
B3gat2,2,467.9806195583922,5.298139524533408e-102,1.7167515206922572e-101
Smap1,2,884.5540508928912,3.671784012525056e-188,2.0788090147247456e-187
Sdhaf4,2,103.89577834478268,2.62716674021409e-24,3.8549874677795235e-24
Fam135a,2,491.2824619496317,6.801441541906741e-107,2.288864244629569e-106
Col9a1,2,14.823131960543087,0.00011863910501394998,0.0001318980722798328
Col19a1,2,2631.6352213656637,0.0,0.0
Lmbrd1,2,1322.8849398463192,4.836687880248853e-276,4.1497289975142796e-275
Adgrb3,2,6136.318139235785,0.0,0.0
Phf3,2,1538.4827512841962,2.77454e-318,2.8361483e-317
Ptp4a1,2,19.176200924523442,1.2011401871854303e-05,1.3590322484045678e-05
Khdrbs2,2,6831.49892247315,0.0,0.0
Prim2,2,332.71986362207224,1.9825389820093865e-73,4.992811810946107e-73
Rab23,2,302.873890226552,4.412075486980018e-67,1.0476913509637717e-66
Bag2,2,175.89203046772565,6.905456254174756e-40,1.2226504110508355e-39
Zfp451,2,1161.030540666507,6.54935596965062e-244,4.890039272641821e-243
Bend6,2,2402.2487332193464,0.0,0.0
Dst,2,1294.39401385933,2.06146235215445e-270,1.7352157882258456e-269
Ccdc115,2,47.13716121212174,6.916871117544196e-12,8.584997156862683e-12
Imp4,2,22.57895276850005,2.038219628623214e-06,2.3360432728468326e-06
Ptpn18,2,24.227561048726155,8.663933142296047e-07,9.977012632593137e-07
Arhgef4,2,3.4185776989263457,0.06448902597811258,0.06752380367120023
Fam168b,2,319.6740581455511,1.1742097324356705e-70,2.8884650687334075e-70
Plekhb2,2,442.257919638009,1.3620391285436627e-96,4.221783693071255e-96
Hs6st1,2,300.80794209024646,1.2150857910826807e-66,2.8690122587466907e-66
Uggt1,2,642.9434843047006,1.6178407877628916e-138,6.847867633682499e-138
Arid5a,2,45.889491957870355,1.3045399616068478e-11,1.6128550182859247e-11
Kansl3,2,384.6196704982257,1.981034369620997e-84,5.50860421463035e-84
Lman2l,2,495.08761037218676,1.0830929220532909e-107,3.6689394847529644e-107
Cnnm4,2,68.8670990312117,1.1555881869173307e-16,1.5348823296534042e-16
Cnnm3,2,154.9962886216443,2.222842493245436e-35,3.7331673524753517e-35
Ankrd39,2,83.05389465535173,9.130469058052934e-20,1.2619501182835352e-19
Sema4c,2,26.842261078420343,2.24031416327858e-07,2.6032025485045736e-07
Cox5b,2,87.1151799666459,1.1863476537100103e-20,1.6582285809892826e-20
Actr1b,2,1533.3280906947562,2.7912846e-317,2.8380541e-316
4933424G06Rik,2,409.7277869572361,9.811951816243887e-90,2.860033990106024e-89
Tmem131,2,1395.7239267316936,2.2018522063643212e-290,2.017482975632374e-289
Inpp4a,2,2945.742634686898,0.0,0.0
Coa5,2,68.58317070861547,1.3335335712798427e-16,1.769649421131799e-16
Unc50,2,202.49193090597646,1.3044160372363144e-45,2.473924434877795e-45
Mgat4a,2,723.4949913584827,3.624780674321901e-155,1.6890339267782678e-154
Cracdl,2,6275.258576489714,0.0,0.0
Tsga10,2,1018.5571728816078,2.5495092673328866e-215,1.6619115585397478e-214
Lipt1,2,22.61827476540122,1.9969978056830957e-06,2.2893877806671814e-06
Mitd1,2,108.54388927160942,2.5645847024270995e-25,3.8160059939145983e-25
Mrpl30,2,103.92821587634832,2.584837753350132e-24,3.7937097633272055e-24
Txndc9,2,170.41801768680804,1.0448798143726005e-38,1.827718228757104e-38
Eif5b,2,945.8876057471508,1.264097229989693e-200,7.629158237053526e-200
Rev1,2,1026.611140243726,6.060294143479667e-217,3.973719391721687e-216
Aff3,2,6310.526442917982,0.0,0.0
Lonrf2,2,1452.8106616966625,1.4230134075892945e-301,1.3726321525518124e-300
Chst10,2,341.3288686355121,2.946234816431658e-75,7.553722834523264e-75
Pdcl3,2,118.15247464040539,2.1012168405737562e-27,3.199275184952058e-27
Npas2,2,1389.782578514456,3.2351885652746493e-289,2.9460959990734356e-288
Rpl31,2,122.3772759524685,2.5466343868696588e-28,3.92853814013288e-28
Tbc1d8,2,297.3199984012782,6.723187263415233e-66,1.5785182899506394e-65
Cnot11,2,120.9793033436395,5.118869308497479e-28,7.862046165260163e-28
Rnf149,2,629.7084692613219,8.998471591779109e-136,3.733051452773496e-135
Creg2,2,1093.0057857715694,2.6951893996879496e-230,1.8927290103016375e-229
Map4k4,2,16.054293036867765,6.189194353741642e-05,6.921818264425813e-05
Il1r2,2,370.3255790802455,2.0985326660748662e-81,5.696504898759549e-81
Il1r1,2,0.7687692858930035,0.3806141151988044,0.38918492937377747
Il1rl2,2,13.563570264095782,0.00023154467512534783,0.00025571818439141245
Slc9a2,2,4.731516039562951,0.029632575721961596,0.03135163146997839
Mfsd9,2,28.31758967774778,1.0465124778134745e-07,1.2226254991519982e-07
Pou3f3,2,4.603965553728052,0.03191639536966119,0.03373318646069012
Mrps9,2,611.6523398662168,5.0561647732098037e-132,2.04979652967965e-131
Gpr45,2,1428.1983633934801,9.376555015230862e-297,8.815282355868451e-296
Tgfbrap1,2,266.0980046166081,3.0773502102944143e-59,6.771489254562457e-59
AI597479,2,174.82090979653188,1.1749195420153585e-39,2.0720179505819072e-39
Fhl2,2,2648.322228634074,0.0,0.0
Nck2,2,756.6366578587299,5.469384473531275e-162,2.652244196209318e-161
Ecrg4,2,2.9462410722780983,0.08610117302584208,0.08982188480854825
Uxs1,2,1699.6343687877356,0.0,0.0
Tpp2,2,681.3769034550741,1.788245981888262e-146,7.878905563765115e-146
Mettl21c,2,114.27744163728293,1.457436536242577e-26,2.2012419684170613e-26
Tex30,2,39.700948324038755,3.05448939359834e-10,3.705018481240945e-10
Poglut2,2,39.21785309784802,3.908921863566033e-10,4.731106697969768e-10
Bivm,2,358.1470407561199,7.980060548054127e-79,2.1171265563696858e-78
Ercc5,2,197.08054281653503,1.8992670900341267e-44,3.5451923450720907e-44
Gulp1,2,709.5972986941056,2.6591739958033183e-152,1.219092474037579e-151
Col5a2,2,86.88740600831454,1.330144583589436e-20,1.8582492874548946e-20
